,picture,href,sex,category
1,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ211_s.jpg,http://www.lecaf.co.kr/product/view/10860,남,상
2,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ212_s.jpg,http://www.lecaf.co.kr/product/view/10859,남,상
3,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ213_s.jpg,http://www.lecaf.co.kr/product/view/10858,남,상
4,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ214_s.jpg,http://www.lecaf.co.kr/product/view/10857,남,상
5,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ215_s.jpg,http://www.lecaf.co.kr/product/view/10856,남,상
6,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ231_s.jpg,http://www.lecaf.co.kr/product/view/10855,남,하
7,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ232_s.jpg,http://www.lecaf.co.kr/product/view/10854,남,하
8,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ216_s.jpg,http://www.lecaf.co.kr/product/view/10853,남,상
9,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ217_s.jpg,http://www.lecaf.co.kr/product/view/10852,남,상
10,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ236_s.jpg,http://www.lecaf.co.kr/product/view/10851,남,하
11,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ237_s.jpg,http://www.lecaf.co.kr/product/view/10850,남,하
12,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ218_s.jpg,http://www.lecaf.co.kr/product/view/10849,남,상
13,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ219_s.jpg,http://www.lecaf.co.kr/product/view/10848,남,상
14,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ238_s.jpg,http://www.lecaf.co.kr/product/view/10847,남,하
15,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ239_s.jpg,http://www.lecaf.co.kr/product/view/10846,남,하
16,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220PG111_s.jpg,http://www.lecaf.co.kr/product/view/10890,남,하
17,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FW111_s.jpg,http://www.lecaf.co.kr/product/view/10985,남,상
18,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FW112_s.jpg,http://www.lecaf.co.kr/product/view/10984,남,상
19,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FW113_s.jpg,http://www.lecaf.co.kr/product/view/10983,남,상
20,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FW131_s.jpg,http://www.lecaf.co.kr/product/view/10982,남,하
21,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FW132_s.jpg,http://www.lecaf.co.kr/product/view/10981,남,하
22,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ111_s.jpg,http://www.lecaf.co.kr/product/view/10980,남,상
23,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ112_s.jpg,http://www.lecaf.co.kr/product/view/10979,남,상
24,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ113_s.jpg,http://www.lecaf.co.kr/product/view/10978,남,상
25,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ131_s.jpg,http://www.lecaf.co.kr/product/view/10977,남,하
26,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ132_s.jpg,http://www.lecaf.co.kr/product/view/10976,남,하
27,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ133_s.jpg,http://www.lecaf.co.kr/product/view/10975,남,하
28,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ114_s.jpg,http://www.lecaf.co.kr/product/view/10974,남,상
29,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ115_s.jpg,http://www.lecaf.co.kr/product/view/10973,남,상
30,http://www.lecaf.co.kr/fileUpload/product/product/thumb/1220FJ134_s.jpg,http://www.lecaf.co.kr/product/view/10972,남,하
